// Name                         Name MinFarClip MaxFarClip MinFogStart MaxFogStart AmbientLight0(RGBAM) AmbientLight1(RGBAM) DirectionalLight(RGBAM) AmbientDownMult Fog(RGBA) NearFog(RGBA) Fog Mult Near Fog Axis Temperature PostFxStrength Exposure Exposure Multiplier BrightPassThreshold MidGreyValue IntensityBloom ColourCorrect ColourAdd Desaturation Contrast Gamma DesaturationFar ContrastFar GammaFar DepthFxNear DepthFxFar LumMin LumMax LumAdaptDelay GlobEnvRefl MinFarDOF MaxFarDOF MinNearDOF MaxNearDOF NearBlurDOF MidBlurDOF FarBlurDOF WaterReflection ParticleHDR AmbientOcclusionMult SkyMultiplier PedAmbOccHack NearFogAmount
NIGHTSHADE                         -1       500        -1          -1    160 180 220 255   1   150 200 170 255   1     0   0   0 255   0        0.5        0   0   0   0      0   0   0   0     1      0    -100           0          2.8              1              -1.4               0.2          10    128 128 128     0   0   0      0         1      1      1            1         1          0        32      0     100       0     0    -1    -1     0     0     0    -1    -1   -1    -1     1   -1   -1       1       0
PIZZAREST                          -1       300        -1          -1    176 229 255 255   2   128 255 251 255   2.9     0   0   0 255   0        0.5        1   1   1 255      1   1   1   0     1      0    28           1          1              1               0.3               0.5           3    117 129 124     0   0   0      0.7         1      0.7      1            1         0.8          0        32      5     100       0.1    -1    -1    -1     0     0     0    -1    -1   -1    -1     1    0.4   -1       1       255
PIZZAREST2                         -1        -1        -1          -1    250 214 167 255   7.5   255 175 138 255   6     0   0   0 255   0        0.4        0   0   0   0      0   0   0   0     1      0    20           1          1              1               0.5               1           3    132 128 120     0   0   0      0.7         1      1      1            1         1          0        32      7     20       0     0    -1    -1     0     0     0    -1    -1   -1    -1     1    0.6    1       1       0
BRUCIE_STUDIO                      -1       300       300          -1    250 197 177 255   9.9   250 214 147 255  10.3     0   0   0 255   0        0.55        0   0   0   0      0   0   0   0     1      0    -100           1          1              0.9               0.3               0.7           3    128 128 128     0   0   0      0.7         1      1.1      1            1         1          0        32      6.2     36.6       0     0.9    -1    -1     0     0     0    -1    -1   -1    -1     1    0.7   -1       1       0
church                             -1       500       500         500    150 170 200 255  11.5   150 200 170 255  11.5     0   0   0 255   0        0.25        0   0   0   0      0   0   0   0     1      0    28           1          2              1               0.1               1           4    128 128 128     0   0   0      0.4         1      1      1            1         1          0        32     13.6     100       0     0    -1    -1     0     0     0    -1    -1   -1    -1     1   -1   -1       1       0
Faustins                           -1        -1       200         250    219 209 160 255   7.7   182 192 217 255   8.9     0   0   0 255   0        0.55        0   0   0   0      0   0   0   0     1      0    28           1          1              1               0.4               0.8           3    128 128 128     0   0   0      0.6         1      1      1            1         1          0        32     11     100       0     0    -1    -1     0     0     0    -1    -1   -1    -1     1    0.5   -1       1       0
Faustinsbase                       -1       500       200         250    161 139 114 255   8   171 152 152 255  10     0   0   0 255   0        0.5        0   0   0   0      0   0   0   0     1      0    10           1          1              1               0.3               0.5           7    128 128 128     0   0   0      0.6         1      1      1            1         1          0        32      7     100       0     0    -1    -1     0     0     0    -1    -1   -1    -1     1    0.8   -1       1       0
LittleJacobs                       -1        -1       200          -1    252 218 162 128   5.4   217 199 184 128   6.5     0   0   0 255   0        0.4        0   0   0   0      0   0   0   0     1      0    28           1          1              1               1               0.9           1    132 130 120     0   0   0      0.7         1      1      1            1         1          0        32     13.6     100       0    -1    -1    -1     0     0     0    -1    -1   10    -1     1    0.6   -1       1       0
Prison                             -1        20        90          -1    166 127  80 255  11.9   212 194 157 255   8.9     0   0   0 255   0        0.2        0   0   0   0      0   0   0   0     1      0    28           1          1              1               1               0.9           1    125 120 116     0   0   0      0.9         2.8      1      1            1         1          0        32      8.4     100       0     0    -1    -1     0     0     0    -1    -1   -1    -1     1    0.4   -1       1       0
BernieCrane                        -1        -1       200          -1    252 237 212 255   4.5   255 205 199 255   4.5     0   0   0 255   0        0.5        0   0   0   0      0   0   0   0     1      0    28           1          1              1               0.4               0.8           0.1    135 128 128     0   0   0      0.7         1      1      1            1         1          0        32      7.8     100       0     0    -1    -1     0     0     0    -1    -1   -1    -1     1    0.6   -1       1       0
McRearyHouse                       -1        -1       200          -1    247 207 173 255   6   255 233 207 255   5     0   0   0 255   0        0.7        0   0   0   0      0   0   0   0     1      0    28           1          1              1               1               1           1    132 128 124     0   0   0      0.7         1      1.1      1            1         1          0        32     11     100       0     0    -1    -1     0     0     0    -1    -1   -1    -1     1    0.6   -1       1       0
CopshopOffice                      -1        -1       200          -1    242 228 206 255   6.3   242 179 107 255   5.9     0   0   0 255   0        0.65        0   0   0   0      0   0   0   0     1      0    28           1          1              1               0.3               1           1    140 132 122     0   0   0      0.6         1      1      1            1         1          0        32     11     100       0     0    -1    -1     0     0     0    -1    -1   -1    -1     1    0.6   -1       1       0
Michelles                          -1        -1       200          -1    217 181 147 255   5   235 156 120 255   4     0   0   0   0   0        0.9        0   0   0   0      0   0   0   0     1      0    28           1          1              1               0.4               1           3    137 130 126     0   0   0      0.7         1      1      1            1         1          0        32     11     100       0     0    -1    -1     0     0     0    -1    -1   -1    -1     1    0.5   -1       1       0
