-966.0 664.0 0.0001 0.0 0.0 1.0 0.993   -976.0 664.0 0.0001 0.0 0.0 1.0 0.987   -966.0 674.0 0.0001 0.0 0.0 1.0 1.0   -976.0 674.0 0.0001 0.0 0.0 1.0 0.995 5 1.0
-504.0 -8.0 0.0 0.0 0.0 0.0 0.0   -504.0 -8.0 0.0 0.0 0.0 0.0 0.0   -504.0 -8.0 0.0 0.0 0.0 0.0 0.0   -504.0 -8.0 0.0 0.0 0.0 0.0 0.0 5 0.0
32.0 126.0 14.4375 0.0 0.0 0.0 0.0   48.0 126.0 14.4375 0.0 0.0 0.0 0.0   32.0 110.0 14.4375 0.0 0.0 0.0 0.0   48.0 110.0 14.4375 0.0 0.0 0.0 0.0 13 0.0
18.0 -26.0 20.369 0.0 0.0 0.0 0.0   26.0 -26.0 20.369 0.0 0.0 0.0 0.0   18.0 -34.0 20.369 0.0 0.0 0.0 0.0   26.0 -34.0 20.369 0.0 0.0 0.0 0.0 13 0.0
-118.0 468.0 9.0 0.0 0.0 0.0 0.0   -130.0 468.0 9.0 0.0 0.0 0.0 0.0   -118.0 476.0 9.0 0.0 0.0 0.0 0.0   -130.0 476.0 9.0 0.0 0.0 0.0 0.0 13 0.0
-122.0 470.0 10.0 0.0 0.0 0.0 0.0   -126.0 470.0 10.0 0.0 0.0 0.0 0.0   -122.0 474.0 10.0 0.0 0.0 0.0 0.0   -126.0 474.0 10.0 0.0 0.0 0.0 0.0 13 0.0
-68.0 152.0 14.0 0.0 0.0 0.0 0.0   -72.0 152.0 14.0 0.0 0.0 0.0 0.0   -68.0 160.0 14.0 0.0 0.0 0.0 0.0   -72.0 160.0 14.0 0.0 0.0 0.0 0.0 13 0.0
-68.0 172.0 14.0 0.0 0.0 0.0 0.0   -72.0 172.0 14.0 0.0 0.0 0.0 0.0   -68.0 180.0 14.0 0.0 0.0 0.0 0.0   -72.0 180.0 14.0 0.0 0.0 0.0 0.0 13 0.0
3000.0 -2400.0 0.0 0.0 0.0 1.0 1.0   2400.0 -2400.0 0.0 0.0 0.0 1.0 0.0   3000.0 -800.0 0.0 0.0 0.0 1.0 0.26087   2400.0 -800.0 0.0 0.0 0.0 1.0 0.0 5 1.0
3000.0 800.0 0.0 0.0 0.0 1.0 1.0   2400.0 800.0 0.0 0.0 0.0 1.0 0.0   3000.0 3000.0 0.0 0.0 0.0 1.0 0.0   2400.0 3000.0 0.0 0.0 0.0 1.0 0.0 5 1.0
2400.0 2400.0 0.0 0.0 0.0 1.0 0.0   -3000.0 2400.0 0.0 0.0 0.0 1.0 0.27273   2400.0 3000.0 0.0 0.0 0.0 1.0 0.0   -3000.0 3000.0 0.0 0.0 0.0 1.0 0.0 5 1.0
2400.0 -2400.0 0.0 0.0 0.0 1.0 0.0   -3000.0 -2400.0 0.0 0.0 0.0 1.0 1.0   2400.0 -1600.0 0.0 0.0 0.0 1.0 0.0   -3000.0 -1600.0 0.0 0.0 0.0 1.0 0.63043 5 1.0
-2400.0 -800.0 0.0 0.0 0.0 1.0 0.0   -3000.0 -800.0 0.0 0.0 0.0 1.0 0.21739   -2400.0 2400.0 0.0 0.0 0.0 1.0 0.0   -3000.0 2400.0 0.0 0.0 0.0 1.0 0.0303 5 1.0
600.0 -94.0 -0.0001 0.0 0.0 1.0 1.0   524.0 -94.0 -0.0001 0.0 0.0 1.0 1.0   600.0 34.0 -0.0001 0.0 0.0 1.0 1.0   524.0 34.0 -0.0001 0.0 0.0 1.0 1.0 5 1.0
-712.0 -1600.0 0.0 0.0 0.0 1.0 0.0   -3000.0 -1600.0 0.0 0.0 0.0 1.0 0.30354   -712.0 -800.0 0.0 0.0 0.0 1.0 0.0   -3000.0 -800.0 0.0 0.0 0.0 1.0 0.94203 5 1.0
-800.0 -128.0 0.0 0.0 0.0 1.0 1.0   -1100.0 -128.0 0.0 0.0 0.0 1.0 0.882   -800.0 -1.14441e-005 0.0 0.0 0.0 1.0 1.0   -1100.0 1.52588e-005 0.0 0.0 0.0 1.0 0.898 5 1.0
2400.0 1200.0 0.0 0.0 0.0 1.0 0.86364   2000.0 1200.0 0.0 0.0 0.0 1.0 0.81818   2400.0 2400.0 0.0 0.0 0.0 1.0 0.25253   2000.0 2400.0 0.0 0.0 0.0 1.0 0.27273 5 1.0
3000.0 -800.0 0.0 0.0 0.0 1.0 0.08696   2800.0 -800.0 0.0 0.0 0.0 1.0 0.0   3000.0 800.0 0.0 0.0 0.0 1.0 0.33333   2800.0 800.0 0.0 0.0 0.0 1.0 0.0 5 1.0
800.0 620.0 0.0 0.0 0.0 1.0 1.0   664.0 620.0 0.0 0.0 0.0 1.0 1.0   800.0 1260.0 0.0 0.0 0.0 1.0 1.0   664.0 1260.0 0.0 0.0 0.0 1.0 1.0 5 1.0
400.0 -1600.0 0.0 0.0 0.0 1.0 0.30354   -400.0 -1600.0 0.0 0.0 0.0 1.0 0.39694   400.0 -1072.0 0.0 0.0 0.0 1.0 0.78241   -400.0 -1072.0 0.0 0.0 0.0 1.0 1.0 5 1.0
-256.0 -800.0 0.0 0.0 0.0 1.0 0.7971   -340.0 -800.0 0.0 0.0 0.0 1.0 1.0   -256.0 -648.0 0.0 0.0 0.0 1.0 0.84784   -340.0 -648.0 0.0 0.0 0.0 1.0 1.0 5 1.0
400.0 796.0 0.0 0.0 0.0 1.0 1.0   200.0 796.0 0.0 0.0 0.0 1.0 1.0   400.0 1204.0 0.0 0.0 0.0 1.0 1.0   200.0 1204.0 0.0 0.0 0.0 1.0 1.0 5 1.0
400.0 -64.0 -0.0001 0.0 0.0 1.0 1.0   312.0 -64.0 -0.0001 0.0 0.0 1.0 1.0   400.0 32.0 -0.0001 0.0 0.0 1.0 1.0   312.0 32.0 -0.0001 0.0 0.0 1.0 1.0 5 1.0
1600.0 1000.0 0.0 0.0 0.0 1.0 0.0   800.0 1000.0 0.0 0.0 0.0 1.0 0.0   1600.0 1200.0 0.0 0.0 0.0 1.0 0.0   800.0 1200.0 0.0 0.0 0.0 1.0 0.0 5 0.0
2000.0 1200.0 0.0 0.0 0.0 1.0 1.0   800.0 1200.0 0.0 0.0 0.0 1.0 0.863   2000.0 1400.0 0.0 0.0 0.0 1.0 1.0   800.0 1400.0 0.0 0.0 0.0 1.0 0.761 5 1.0
2400.0 1000.0 0.0 0.0 0.0 1.0 0.0   1800.0 1000.0 0.0 0.0 0.0 1.0 0.0   2400.0 1200.0 0.0 0.0 0.0 1.0 0.0   1800.0 1200.0 0.0 0.0 0.0 1.0 0.0 5 0.0
2290.0 -800.0 -0.0001 0.0 0.0 1.0 0.6087   1600.0 -800.0 -0.0001 0.0 0.0 1.0 0.08696   2290.0 -3.05176e-005 -0.0001 0.0 0.0 1.0 0.95652   1600.0 3.05176e-005 -0.0001 0.0 0.0 1.0 0.21014 5 1.0
2000.0 1400.0 0.0 0.0 0.0 1.0 0.84119   1600.0 1400.0 0.0 0.0 0.0 1.0 0.76179   2000.0 2400.0 0.0 0.0 0.0 1.0 0.23232   1600.0 2400.0 0.0 0.0 0.0 1.0 0.25253 5 1.0
300.0 1400.0 -0.0001 0.0 0.0 1.0 1.0   112.0 1400.0 -0.0001 0.0 0.0 1.0 1.0   300.0 2000.0 -0.0001 0.0 0.0 1.0 0.87296   112.0 2000.0 -0.0001 0.0 0.0 1.0 0.96824 5 1.0
1600.0 2200.0 0.0 0.0 0.0 1.0 0.58586   400.0 2200.0 0.0 0.0 0.0 1.0 0.3541   1600.0 2400.0 0.0 0.0 0.0 1.0 0.17172   400.0 2400.0 0.0 0.0 0.0 1.0 0.23232 5 1.0
1600.0 -400.0 0.0 0.0 0.0 1.0 0.8913   1500.0 -400.0 0.0 0.0 0.0 1.0 0.78261   1600.0 100.0 0.0 0.0 0.0 1.0 1.0   1500.0 100.0 0.0 0.0 0.0 1.0 1.0 5 1.0
2304.0 -3.05176e-005 -0.0001 0.0 0.0 1.0 0.95652   1600.0 3.05176e-005 -0.0001 0.0 0.0 1.0 0.70773   2304.0 100.0 -0.0001 0.0 0.0 1.0 1.0   1600.0 100.0 -0.0001 0.0 0.0 1.0 1.0 5 1.0
476.0 -800.0 0.0002 0.0 0.0 1.0 1.0   260.0 -800.0 0.0002 0.0 0.0 1.0 1.0   476.0 -720.0 0.0002 0.0 0.0 1.0 1.0   260.0 -720.0 0.0002 0.0 0.0 1.0 1.0 5 1.0
400.0 -884.0 0.0001 0.0 0.0 1.0 0.9456   260.0 -884.0 0.0001 0.0 0.0 1.0 1.0   400.0 -800.0 0.0001 0.0 0.0 1.0 1.0   260.0 -800.0 0.0001 0.0 0.0 1.0 1.0 5 1.0
2400.0 864.0 0.0 0.0 0.0 1.0 1.0   2316.0 864.0 0.0 0.0 0.0 1.0 0.95455   2400.0 1000.0 0.0 0.0 0.0 1.0 0.92424   2316.0 1000.0 0.0 0.0 0.0 1.0 0.90909 5 1.0
-800.0 -800.0 0.0 0.0 0.0 1.0 0.36232   -1144.0 -800.0 0.0 0.0 0.0 1.0 0.7971   -800.0 -668.0 0.0 0.0 0.0 1.0 0.48257   -1144.0 -668.0 0.0 0.0 0.0 1.0 0.81385 5 1.0
-196.0 -920.0 -0.0001 0.0 0.0 1.0 0.86222   -400.0 -920.0 -0.0001 0.0 0.0 1.0 0.89171   -196.0 -884.0 -0.0001 0.0 0.0 1.0 0.94203   -400.0 -884.0 -0.0001 0.0 0.0 1.0 1.0 5 1.0
400.0 2000.0 0.0 0.0 0.0 1.0 0.36479   -1600.0 2000.0 0.0 0.0 0.0 1.0 1.0   400.0 2400.0 0.0 0.0 0.0 1.0 0.07071   -1600.0 2400.0 0.0 0.0 0.0 1.0 0.17172 5 1.0
-428.0 1786.0 0.0003 0.0 0.0 1.0 0.8412   -600.0 1786.0 0.0003 0.0 0.0 1.0 0.9153   -428.0 2000.0 0.0003 0.0 0.0 1.0 0.68239   -600.0 2000.0 0.0003 0.0 0.0 1.0 0.87296 5 1.0
400.0 1304.0 -0.0001 0.0 0.0 1.0 1.0   96.0 1304.0 -0.0001 0.0 0.0 1.0 1.0   400.0 1400.0 -0.0001 0.0 0.0 1.0 1.0   96.0 1400.0 -0.0001 0.0 0.0 1.0 1.0 5 1.0
598.0 1884.0 23.0 0.0 0.0 1.0 1.0   458.0 1884.0 23.0 0.0 0.0 1.0 1.0   598.0 1948.0 23.0 0.0 0.0 1.0 1.0   458.0 1948.0 23.0 0.0 0.0 1.0 1.0 13 0.0
1600.0 2000.0 0.0 0.0 0.0 1.0 1.0   600.0 2000.0 0.0 0.0 0.0 1.0 0.47587   1600.0 2200.0 0.0 0.0 0.0 1.0 0.54723   600.0 2200.0 0.0 0.0 0.0 1.0 0.3541 5 1.0
1200.0 1400.0 0.0 0.0 0.0 1.0 0.99206   840.0 1400.0 0.0 0.0 0.0 1.0 0.9206   1200.0 1500.0 0.0 0.0 0.0 1.0 1.0   840.0 1500.0 0.0 0.0 0.0 1.0 1.0 5 1.0
1800.0 1064.0 0.0001 0.0 0.0 1.0 0.0   1600.0 1064.0 0.0001 0.0 0.0 1.0 0.0   1800.0 1200.0 0.0001 0.0 0.0 1.0 0.0   1600.0 1200.0 0.0001 0.0 0.0 1.0 0.0 5 0.0
1530.0 528.0 27.9795 0.0 0.0 1.0 1.0   1450.0 528.0 27.9795 0.0 0.0 1.0 1.0   1530.0 600.0 27.9795 0.0 0.0 1.0 1.0   1450.0 600.0 27.9795 0.0 0.0 1.0 1.0 13 0.0
-520.0 1598.0 0.0002 0.0 0.0 1.0 1.0   -600.0 1598.0 0.0002 0.0 0.0 1.0 1.0   -520.0 1786.0 0.0002 0.0 0.0 1.0 0.8412   -600.0 1786.0 0.0002 0.0 0.0 1.0 0.85108 5 1.0
-550.0 1398.0 0.0002 0.0 0.0 1.0 1.0   -600.0 1398.0 0.0002 0.0 0.0 1.0 1.0   -550.0 1598.0 0.0002 0.0 0.0 1.0 1.0   -600.0 1598.0 0.0002 0.0 0.0 1.0 1.0 5 1.0
112.0 1750.0 0.0004 0.0 0.0 1.0 1.0   -364.0 1750.0 0.0004 0.0 0.0 1.0 0.92801   112.0 2002.0 0.0004 0.0 0.0 1.0 0.8659   -364.0 2002.0 0.0004 0.0 0.0 1.0 0.9153 5 1.0
112.0 1650.0 0.0005 0.0 0.0 1.0 1.0   -68.0 1650.0 0.0005 0.0 0.0 1.0 0.94495   112.0 1750.0 0.0005 0.0 0.0 1.0 0.94241   -68.0 1750.0 0.0005 0.0 0.0 1.0 0.92801 5 1.0
400.0 496.0 0.0001 0.0 0.0 1.0 1.0   168.0 496.0 0.0001 0.0 0.0 1.0 1.0   400.0 796.0 0.0001 0.0 0.0 1.0 1.0   168.0 796.0 0.0001 0.0 0.0 1.0 1.0 5 1.0
-68.0 192.0 14.0 0.0 0.0 0.0 0.0   -72.0 192.0 14.0 0.0 0.0 0.0 0.0   -68.0 200.0 14.0 0.0 0.0 0.0 0.0   -72.0 200.0 14.0 0.0 0.0 0.0 0.0 13 0.0
-1148.0 1682.0 35.3427 0.0 0.0 1.0 1.0   -1172.0 1682.0 35.3427 0.0 0.0 1.0 1.0   -1148.0 1698.0 35.3427 0.0 0.0 1.0 1.0   -1172.0 1698.0 35.3427 0.0 0.0 1.0 1.0 13 0.0
-580.0 374.0 0.0003 0.0 0.0 1.0 0.96544   -624.0 374.0 0.0003 0.0 0.0 1.0 1.0   -580.0 454.0 0.0003 0.0 0.0 1.0 0.97196   -624.0 454.0 0.0003 0.0 0.0 1.0 1.0 5 1.0
188.0 -1072.0 0.0001 0.0 0.0 1.0 0.78241   112.0 -1072.0 0.0001 0.0 0.0 1.0 0.9456   188.0 -932.0 0.0001 0.0 0.0 1.0 0.86222   112.0 -932.0 0.0001 0.0 0.0 1.0 0.9728 5 1.0
-1600.0 1136.0 0.0 0.0 0.0 1.0 0.1042   -2400.0 1136.0 0.0 0.0 0.0 1.0 1.0   -1600.0 2400.0 0.0 0.0 0.0 1.0 0.0303   -2400.0 2400.0 0.0 0.0 0.0 1.0 0.07071 5 1.0
-1296.0 1800.0 0.0 0.0 0.0 1.0 0.51183   -1600.0 1800.0 0.0 0.0 0.0 1.0 1.0   -1296.0 2000.0 0.0 0.0 0.0 1.0 0.36479   -1600.0 2000.0 0.0 0.0 0.0 1.0 0.46134 5 1.0
-776.0 798.0 0.0004 0.0 0.0 1.0 1.0   -816.0 798.0 0.0004 0.0 0.0 1.0 1.0   -776.0 998.0 0.0004 0.0 0.0 1.0 1.0   -816.0 998.0 0.0004 0.0 0.0 1.0 1.0 5 1.0
-1800.0 580.0 0.0 0.0 0.0 1.0 0.13671   -2400.0 580.0 0.0 0.0 0.0 1.0 1.0   -1800.0 800.0 0.0 0.0 0.0 1.0 0.12385   -2400.0 800.0 0.0 0.0 0.0 1.0 1.0 5 1.0
-2200.0 -800.0 0.0 0.0 0.0 1.0 0.21739   -2400.0 -800.0 0.0 0.0 0.0 1.0 0.28986   -2200.0 0.0 0.0 0.0 0.0 1.0 0.17062   -2400.0 0.0 0.0 0.0 0.0 1.0 1.0 5 1.0
-632.0 -1.52588e-005 0.0 0.0 0.0 1.0 0.95273   -1024.0 1.71661e-005 0.0 0.0 0.0 1.0 0.89857   -632.0 64.0 0.0 0.0 0.0 1.0 0.95651   -1024.0 64.0 0.0 0.0 0.0 1.0 0.90668 5 1.0
-786.0 64.0 0.0 0.0 0.0 1.0 1.0   -1218.0 64.0 0.0 0.0 0.0 1.0 0.90668   -786.0 120.0 0.0 0.0 0.0 1.0 1.0   -1218.0 120.0 0.0 0.0 0.0 1.0 0.91428 5 1.0
-1340.0 -198.0 0.0 0.0 0.0 1.0 0.89068   -1884.0 -198.0 0.0 0.0 0.0 1.0 1.0   -1340.0 -114.0 0.0 0.0 0.0 1.0 1.0   -1884.0 -114.0 0.0 0.0 0.0 1.0 1.0 5 1.0
-800.0 -668.0 0.0 0.0 0.0 1.0 0.72219   -1112.0 -668.0 0.0 0.0 0.0 1.0 0.81385   -800.0 -614.0 0.0 0.0 0.0 1.0 1.0   -1112.0 -614.0 0.0 0.0 0.0 1.0 0.82196 5 1.0
-800.0 -284.0 0.0 0.0 0.0 1.0 0.91849   -968.0 -284.0 0.0 0.0 0.0 1.0 0.82196   -800.0 -128.0 0.0 0.0 0.0 1.0 0.93374   -968.0 -128.0 0.0 0.0 0.0 1.0 0.88234 5 1.0
832.0 600.0 0.0 0.0 0.0 1.0 1.0   800.0 600.0 0.0 0.0 0.0 1.0 1.0   832.0 1000.0 0.0 0.0 0.0 1.0 1.0   800.0 1000.0 0.0 0.0 0.0 1.0 1.0 5 1.0
1000.0 840.0 0.0 0.0 0.0 1.0 1.0   832.0 840.0 0.0 0.0 0.0 1.0 1.0   1000.0 1000.0 0.0 0.0 0.0 1.0 1.0   832.0 1000.0 0.0 0.0 0.0 1.0 1.0 5 1.0
912.0 722.0 9.69531 0.0 0.0 1.0 1.0   880.0 722.0 9.69531 0.0 0.0 1.0 1.0   912.0 774.0 9.69531 0.0 0.0 1.0 1.0   880.0 774.0 9.69531 0.0 0.0 1.0 1.0 13 0.5
914.0 702.0 9.0 0.0 0.0 1.0 1.0   910.0 702.0 9.0 0.0 0.0 1.0 1.0   914.0 718.0 9.0 0.0 0.0 1.0 1.0   910.0 718.0 9.0 0.0 0.0 1.0 1.0 13 0.5
878.0 710.0 9.0 0.0 0.0 1.0 1.0   874.0 710.0 9.0 0.0 0.0 1.0 1.0   878.0 718.0 9.0 0.0 0.0 1.0 1.0   874.0 718.0 9.0 0.0 0.0 1.0 1.0 13 0.5
882.0 698.0 9.0 0.0 0.0 1.0 1.0   878.0 698.0 9.0 0.0 0.0 1.0 1.0   882.0 718.0 9.0 0.0 0.0 1.0 1.0   878.0 718.0 9.0 0.0 0.0 1.0 1.0 13 0.5
890.0 694.0 9.0 0.0 0.0 1.0 1.0   882.0 694.0 9.0 0.0 0.0 1.0 1.0   890.0 718.0 9.0 0.0 0.0 1.0 1.0   882.0 718.0 9.0 0.0 0.0 1.0 1.0 13 1.0
902.0 690.0 9.0 0.0 0.0 1.0 1.0   890.0 690.0 9.0 0.0 0.0 1.0 1.0   902.0 718.0 9.0 0.0 0.0 1.0 1.0   890.0 718.0 9.0 0.0 0.0 1.0 1.0 13 0.5
910.0 694.0 9.0 0.0 0.0 1.0 1.0   902.0 694.0 9.0 0.0 0.0 1.0 1.0   910.0 718.0 9.0 0.0 0.0 1.0 1.0   902.0 718.0 9.0 0.0 0.0 1.0 1.0 13 0.5
1600.0 -800.0 0.0 0.0 0.0 1.0 0.69565   1400.0 -800.0 0.0 0.0 0.0 1.0 0.6087   1600.0 -400.0 0.0 0.0 0.0 1.0 1.0   1400.0 -400.0 0.0 0.0 0.0 1.0 0.78261 5 1.0
-1856.0 480.0 0.0 0.0 0.0 1.0 0.14256   -2400.0 480.0 0.0 0.0 0.0 1.0 1.0   -1856.0 580.0 0.0 0.0 0.0 1.0 0.13671   -2400.0 580.0 0.0 0.0 0.0 1.0 0.94245 5 1.0
-2052.0 256.0 0.0 0.0 0.0 1.0 0.15565   -2400.0 256.0 0.0 0.0 0.0 1.0 1.0   -2052.0 360.0 0.0 0.0 0.0 1.0 0.14957   -2400.0 360.0 0.0 0.0 0.0 1.0 0.84178 5 1.0
-2112.0 228.0 0.0 0.0 0.0 1.0 0.15916   -2400.0 228.0 0.0 0.0 0.0 1.0 1.0   -2112.0 256.0 0.0 0.0 0.0 1.0 0.15565   -2400.0 256.0 0.0 0.0 0.0 1.0 0.79896 5 1.0
-2200.0 -7.62939e-006 0.0 0.0 0.0 1.0 0.17062   -2400.0 7.62939e-006 0.0 0.0 0.0 1.0 0.95024   -2200.0 196.0 0.0 0.0 0.0 1.0 0.15916   -2400.0 196.0 0.0 0.0 0.0 1.0 0.65315 5 1.0
-2000.0 -800.0 0.0 0.0 0.0 1.0 0.28986   -2200.0 -800.0 0.0 0.0 0.0 1.0 0.36232   -2000.0 -484.0 0.0 0.0 0.0 1.0 0.91123   -2200.0 -484.0 0.0 0.0 0.0 1.0 1.0 5 1.0
-776.0 998.0 0.0005 0.0 0.0 1.0 1.0   -820.0 998.0 0.0005 0.0 0.0 1.0 1.0   -776.0 1042.0 0.0005 0.0 0.0 1.0 1.0   -820.0 1042.0 0.0005 0.0 0.0 1.0 1.0 5 1.0
-966.0 508.0 0.0001 0.0 0.0 1.0 0.99352   -1006.0 508.0 0.0001 0.0 0.0 1.0 0.98763   -966.0 664.0 0.0001 0.0 0.0 1.0 1.0   -1006.0 664.0 0.0001 0.0 0.0 1.0 0.99529 5 1.0
-1006.0 508.0 0.0002 0.0 0.0 1.0 1.0   -1050.0 508.0 0.0002 0.0 0.0 1.0 0.99352   -1006.0 592.0 0.0002 0.0 0.0 1.0 1.0   -1050.0 592.0 0.0002 0.0 0.0 1.0 0.99684 5 1.0
-968.0 -192.0 0.0 0.0 0.0 1.0 1.0   -1104.0 -192.0 0.0 0.0 0.0 1.0 0.93118   -968.0 -128.0 0.0 0.0 0.0 1.0 0.96916   -1104.0 -128.0 0.0 0.0 0.0 1.0 0.93374 5 1.0
-1760.0 760.0 0.0 0.0 0.0 1.0 1.0   -1800.0 760.0 0.0 0.0 0.0 1.0 1.0   -1760.0 800.0 0.0 0.0 0.0 1.0 1.0   -1800.0 800.0 0.0 0.0 0.0 1.0 1.0 5 1.0
-1860.0 800.0 0.0 0.0 0.0 1.0 0.12385   -2400.0 800.0 0.0 0.0 0.0 1.0 0.91238   -1860.0 1136.0 0.0 0.0 0.0 1.0 0.1042   -2400.0 1136.0 0.0 0.0 0.0 1.0 0.70887 5 1.0
-1660.0 948.0 0.0 0.0 0.0 1.0 0.91238   -1860.0 948.0 0.0 0.0 0.0 1.0 1.0   -1660.0 1136.0 0.0 0.0 0.0 1.0 0.8082   -1860.0 1136.0 0.0 0.0 0.0 1.0 1.0 5 1.0
-1936.0 360.0 0.0 0.0 0.0 1.0 0.14957   -2400.0 360.0 0.0 0.0 0.0 1.0 1.0   -1936.0 480.0 0.0 0.0 0.0 1.0 0.14256   -2400.0 480.0 0.0 0.0 0.0 1.0 0.93263 5 1.0
-786.0 194.0 0.0001 0.0 0.0 1.0 1.0   -1114.0 194.0 0.0001 0.0 0.0 1.0 0.92316   -786.0 258.0 0.0001 0.0 0.0 1.0 1.0   -1114.0 258.0 0.0001 0.0 0.0 1.0 0.93128 5 1.0
-786.0 258.0 0.0001 0.0 0.0 1.0 0.95859   -926.0 258.0 0.0001 0.0 0.0 1.0 0.93128   -786.0 360.0 0.0001 0.0 0.0 1.0 0.96727   -926.0 360.0 0.0001 0.0 0.0 1.0 0.94421 5 1.0
-786.0 360.0 0.0001 0.0 0.0 1.0 1.0   -1098.0 360.0 0.0001 0.0 0.0 1.0 0.94421   -786.0 428.0 0.0001 0.0 0.0 1.0 1.0   -1098.0 428.0 0.0001 0.0 0.0 1.0 0.95283 5 1.0
-786.0 428.0 0.0 0.0 0.0 1.0 0.97484   -942.0 428.0 0.0 0.0 0.0 1.0 0.95283   -786.0 472.0 0.0 0.0 0.0 1.0 0.98189   -942.0 472.0 0.0 0.0 0.0 1.0 0.95841 5 1.0
-786.0 472.0 0.0 0.0 0.0 1.0 1.0   -1046.0 472.0 0.0 0.0 0.0 1.0 0.95841   -786.0 508.0 0.0 0.0 0.0 1.0 1.0   -1046.0 508.0 0.0 0.0 0.0 1.0 0.96348 5 1.0
350.0 1900.0 0.0 0.0 0.0 1.0 0.98412   300.0 1900.0 0.0 0.0 0.0 1.0 1.0   350.0 2000.0 0.0 0.0 0.0 1.0 0.97883   300.0 2000.0 0.0 0.0 0.0 1.0 1.0 5 1.0
328.0 1400.0 0.0 0.0 0.0 1.0 1.0   300.0 1400.0 0.0 0.0 0.0 1.0 1.0   328.0 1480.0 0.0 0.0 0.0 1.0 0.99577   300.0 1480.0 0.0 0.0 0.0 1.0 1.0 5 1.0
1600.0 1900.0 0.0 0.0 0.0 1.0 1.0   1300.0 1900.0 0.0 0.0 0.0 1.0 0.53676   1600.0 2000.0 0.0 0.0 0.0 1.0 0.63311   1300.0 2000.0 0.0 0.0 0.0 1.0 0.47587 5 1.0
1600.0 1800.0 0.0 0.0 0.0 1.0 1.0   1400.0 1800.0 0.0 0.0 0.0 1.0 0.59764   1600.0 1900.0 0.0 0.0 0.0 1.0 0.84559   1400.0 1900.0 0.0 0.0 0.0 1.0 0.53676 5 1.0
1600.0 1400.0 0.0 0.0 0.0 1.0 0.90074   1300.0 1400.0 0.0 0.0 0.0 1.0 0.84119   1600.0 1600.0 0.0 0.0 0.0 1.0 1.0   1300.0 1600.0 0.0 0.0 0.0 1.0 0.71942 5 1.0
1400.0 1850.0 0.0 0.0 0.0 1.0 1.0   1376.0 1850.0 0.0 0.0 0.0 1.0 0.92279   1400.0 1900.0 0.0 0.0 0.0 1.0 0.88265   1376.0 1900.0 0.0 0.0 0.0 1.0 0.84559 5 1.0
600.0 2040.0 0.0 0.0 0.0 1.0 0.91717   400.0 2040.0 0.0 0.0 0.0 1.0 0.90945   600.0 2200.0 0.0 0.0 0.0 1.0 0.58586   400.0 2200.0 0.0 0.0 0.0 1.0 0.54723 5 1.0
1500.0 -200.0 0.0 0.0 0.0 1.0 0.99348   1410.0 -200.0 0.0 0.0 0.0 1.0 0.93478   1500.0 -7.62939e-006 0.0 0.0 0.0 1.0 1.0   1410.0 7.62939e-006 0.0 0.0 0.0 1.0 0.97826 5 1.0
800.0 1260.0 0.0 0.0 0.0 1.0 1.0   680.0 1260.0 0.0 0.0 0.0 1.0 1.0   800.0 1290.0 0.0 0.0 0.0 1.0 1.0   680.0 1290.0 0.0 0.0 0.0 1.0 1.0 5 1.0
